Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,peak_mb,avg_mb,start_mb,end_mb,growth_mb,Threading
imagenet,3,Scann,500000,1000,Update,0.0,0.0,807.36613,0.0,0.4708,1238.5954,28987.67,28987.67,28987.67,28987.67,0.0,True
imagenet,1,Falconn (num_tables: 50),300000,1000,Build,3.1333,0.0,1233.65855,0.9206,0.9206,810.5971,29088.07,29077.73,28987.67,29088.06,100.4,True
imagenet,2,Falconn (num_tables: 50),301000,1000,Update,0.0,0.0,1204.04077,0.0,0.919,830.5367,29087.64,29087.64,29087.62,29087.64,0.02,True
imagenet,3,Falconn (num_tables: 50),500000,1000,Update,0.0,0.0,1203.29404,0.0,0.5692,831.0521,29087.64,29087.64,29087.64,29087.64,0.0,True
imagenet,1,Falconn (num_tables: 100),300000,1000,Build,6.3323,0.0,2372.35045,0.9405,0.9405,421.5229,29282.62,29271.71,29087.64,29282.62,194.98,True
imagenet,2,Falconn (num_tables: 100),301000,1000,Update,0.0,0.0001,2342.61322,0.0,0.9389,426.8737,29282.73,29282.73,29282.73,29282.73,0.0,True
imagenet,3,Falconn (num_tables: 100),500000,1000,Update,0.0,0.0,2339.92171,0.0,0.5752,427.3647,29282.73,29282.73,29282.73,29282.73,0.0,True
imdb_wiki,1,KNNS Binary (Threaded),300000,1000,Build,3.1983,0.0,13969.00654,1.0,1.0,71.5871,35470.19,34328.23,33177.22,35470.19,2292.97,True
imdb_wiki,2,KNNS Binary (Threaded),301000,1000,Update,0.0,0.0158,14044.80624,0.0,1.0,71.2007,25703.46,25701.53,25695.78,25703.46,7.68,True
imdb_wiki,3,KNNS Binary (Threaded),500000,1000,Update,0.0,2.5853,23525.64669,0.0,1.0,42.5068,27437.77,26235.66,25703.46,27437.77,1734.32,True
imdb_wiki,1,KNNS Binary (Serial),300000,1000,Build,4.2705,0.0,53594.37418,1.0,1.0,18.6587,32800.74,28678.4,27437.77,32800.74,5362.96,False
imdb_wiki,2,KNNS Binary (Serial),301000,1000,Update,0.0,0.0153,53486.41133,0.0,1.0,18.6963,28993.67,28992.14,28986.04,28993.67,7.63,False
imdb_wiki,3,KNNS Binary (Serial),500000,1000,Update,0.0,3.1786,90789.7656,0.0,1.0,11.0145,30511.92,29770.1,28993.67,30511.92,1518.25,False
imdb_wiki,1,KNNS Double (Threaded),300000,1000,Build,3.1817,0.0,17791.52274,1.0,1.0,56.2065,32800.74,31665.47,30511.92,32733.86,2288.82,True
imdb_wiki,2,KNNS Double (Threaded),301000,1000,Update,0.0,0.0146,17830.7128,0.0,1.0,56.083,25645.25,25642.59,25637.62,25643.37,7.63,True
imdb_wiki,3,KNNS Double (Threaded),500000,1000,Update,0.0,2.6065,31145.08843,0.0,1.0,32.1078,27358.95,26166.16,25643.37,27336.95,1715.59,True
imdb_wiki,1,KNNS Double (Serial),300000,1000,Build,4.335,0.0,93179.6248,1.0,1.0,10.732,32709.29,28570.2,27336.95,32709.29,5372.34,False
imdb_wiki,2,KNNS Double (Serial),301000,1000,Update,0.0,0.0158,91952.19898,0.0,1.0,10.8752,28902.22,28900.69,28894.59,28902.22,7.63,False
imdb_wiki,3,KNNS Double (Serial),500000,1000,Update,0.0,3.2208,157817.96837,0.0,1.0,6.3364,30420.47,29680.07,28902.22,30420.47,1518.25,False
imdb_wiki,1,KNNS Reordered Binary (Threaded),300000,1000,Build,3.4279,0.0,12606.60481,1.0,1.0,79.3235,32763.02,31563.22,30420.47,32763.02,2342.55,True
imdb_wiki,2,KNNS Reordered Binary (Threaded),301000,1000,Update,0.0,1.0815,12849.5965,0.0,0.9946,77.8235,28956.05,28954.49,28948.32,28956.05,7.73,True
imdb_wiki,3,KNNS Reordered Binary (Threaded),500000,1000,Update,0.0,197.0342,21485.96597,0.0,0.9974,46.542,30516.65,29432.98,28956.05,30516.65,1560.59,True
imdb_wiki,1,KNNS Reordered Binary (Serial),300000,1000,Build,3.1731,0.0,45992.11216,1.0,1.0,21.7429,35076.83,30907.52,30516.65,35076.83,4560.18,False
imdb_wiki,2,KNNS Reordered Binary (Serial),301000,1000,Update,0.0,0.9699,47073.43364,0.0,0.9946,21.2434,31269.76,31268.23,31262.13,31269.76,7.63,False
imdb_wiki,3,KNNS Reordered Binary (Serial),500000,1000,Update,0.0,195.2651,78916.71014,0.0,0.9974,12.6716,32788.01,31503.33,31269.76,32788.01,1518.25,False
imdb_wiki,1,KNNS Reordered Double (Threaded),300000,1000,Build,2.0645,0.0,15760.06794,1.0,1.0,63.4515,35661.6,33290.26,32788.01,35661.6,2873.59,True
imdb_wiki,2,KNNS Reordered Double (Threaded),301000,1000,Update,0.0,0.9727,15993.21747,0.0,0.9946,62.5265,28809.53,28797.96,28776.8,28809.53,32.73,True
imdb_wiki,3,KNNS Reordered Double (Threaded),500000,1000,Update,0.0,195.6119,28964.99538,0.0,0.9974,34.5244,30338.37,29279.13,28809.53,30338.37,1528.84,True
imdb_wiki,1,KNNS Reordered Double (Serial),300000,1000,Build,3.2983,0.0,83314.33415,1.0,1.0,12.0027,35697.26,31410.15,30338.37,35697.26,5358.89,False
imdb_wiki,2,KNNS Reordered Double (Serial),301000,1000,Update,0.0,0.964,82071.74063,0.0,0.9946,12.1845,31890.19,31888.67,31882.56,31890.19,7.63,False
imdb_wiki,3,KNNS Reordered Double (Serial),500000,1000,Update,0.0,194.3487,145073.49133,0.0,0.9974,6.8931,33408.44,32133.11,31890.19,33408.44,1518.25,False
imdb_wiki,1,Linscan (budget: 1),300000,1000,Build,77.7591,0.0,293.91646,0.2963,0.2963,3402.3273,37986.08,36702.69,33408.44,33436.07,4577.64,True
imdb_wiki,2,Linscan (budget: 1),301000,1000,Update,0.0,0.2622,313.24339,0.0,0.293,3192.4058,26367.79,26367.55,26367.45,26367.79,0.34,True
